SN,TITLE,NAME,CHANGE,SECURITY,RATIO
1,Eldon Base for stackable,Muhammed MacIntyre,35,Storage & Organization,0.8
2,1.7 Cubic Foot Compact,Barry French,68.02,Appliances,0.58
3,Cardinal Slant,Barry French,2.99,Binders and Binder Accessories,
4,R380,Clay Rozendal,3.99,Telephones and Communication,0.58
5,Holmes HEPA Air Purifier,Carlos Soltero,5.94,Appliances,0.5
6,G.E. Longer-Life Indoor,Carlos Soltero,4.95,Office Furnishings,0.37
7,Angle-D Binders,Carl Jackson,,Binders and Binder Accessories,0.38
,,,,,
9,SAFCO Commercial ,Monica Federle,35,Storage & Organization,0.56
10,Xerox 198,Dorothy Badders,8.33,Paper,0.38
